,fighter
0,Benson Henderson
1,Gilbert Melendez
2,Anthony Pettis
3,Gray Maynard
4,Nate Diaz
5,Jim Miller
6,Donald Cerrone
7,TJ Grant
8,Rafael Dos Anjos
9,Joe Lauzon
10,Khabib Nurmagomedov
11,Josh Thomson
12,Pat Healy
13,Myles Jury
14,Michael Johnson
15,Edson Barboza
16,Bobby Green
17,Eddie Alvarez
18,Tony Ferguson
19,Beneil Dariush
20,Al Iaquinta
21,Dustin Poirier
22,Michael Chiesa
23,Conor McGregor
24,Kevin Lee
25,Justin Gaethje
26,James Vick
27,Paul Felder
28,Gregor Gillespie
29,Dan Hooker
30,Charles Oliveira
