sequence,date,date_formatted
0,2013-02-04,"February 04, 2013"
1,2013-02-11,"February 11, 2013"
2,2013-02-12,"February 12, 2013"
3,2013-02-18,"February 18, 2013"
4,2013-02-25,"February 25, 2013"
5,2013-03-18,"March 18, 2013"
6,2013-04-08,"April 08, 2013"
7,2013-04-22,"April 22, 2013"
8,2013-05-02,"May 02, 2013"
9,2013-06-10,"June 10, 2013"
10,2013-07-08,"July 08, 2013"
11,2013-07-29,"July 29, 2013"
12,2013-08-05,"August 05, 2013"
13,2013-08-30,"August 30, 2013"
14,2013-09-06,"September 06, 2013"
15,2013-09-23,"September 23, 2013"
16,2013-10-11,"October 11, 2013"
17,2013-10-21,"October 21, 2013"
18,2013-10-28,"October 28, 2013"
19,2013-11-08,"November 08, 2013"
20,2013-11-11,"November 11, 2013"
21,2013-11-18,"November 18, 2013"
22,2013-12-09,"December 09, 2013"
23,2013-12-16,"December 16, 2013"
24,2013-12-30,"December 30, 2013"
25,2014-01-17,"January 17, 2014"
26,2014-01-27,"January 27, 2014"
27,2014-02-03,"February 03, 2014"
28,2014-02-17,"February 17, 2014"
29,2014-02-24,"February 24, 2014"
30,2014-03-03,"March 03, 2014"
31,2014-03-10,"March 10, 2014"
32,2014-03-17,"March 17, 2014"
33,2014-03-24,"March 24, 2014"
34,2014-04-14,"April 14, 2014"
35,2014-04-18,"April 18, 2014"
36,2014-04-21,"April 21, 2014"
37,2014-04-28,"April 28, 2014"
38,2014-05-05,"May 05, 2014"
39,2014-05-12,"May 12, 2014"
40,2014-05-26,"May 26, 2014"
41,2014-06-02,"June 02, 2014"
42,2014-06-09,"June 09, 2014"
43,2014-06-16,"June 16, 2014"
44,2014-06-30,"June 30, 2014"
45,2014-07-08,"July 08, 2014"
46,2014-07-21,"July 21, 2014"
47,2014-07-28,"July 28, 2014"
48,2014-08-18,"August 18, 2014"
49,2014-08-25,"August 25, 2014"
50,2014-09-01,"September 01, 2014"
51,2014-09-08,"September 08, 2014"
52,2014-09-15,"September 15, 2014"
53,2014-09-22,"September 22, 2014"
54,2014-09-29,"September 29, 2014"
55,2014-10-06,"October 06, 2014"
56,2014-10-27,"October 27, 2014"
57,2014-11-10,"November 10, 2014"
58,2014-11-17,"November 17, 2014"
59,2014-11-24,"November 24, 2014"
60,2014-12-08,"December 08, 2014"
61,2014-12-15,"December 15, 2014"
62,2014-12-22,"December 22, 2014"
63,2015-01-05,"January 05, 2015"
64,2015-01-20,"January 20, 2015"
65,2015-01-26,"January 26, 2015"
66,2015-02-02,"February 02, 2015"
67,2015-02-16,"February 16, 2015"
68,2015-02-24,"February 24, 2015"
69,2015-03-02,"March 02, 2015"
70,2015-03-16,"March 16, 2015"
71,2015-03-23,"March 23, 2015"
72,2015-04-13,"April 13, 2015"
73,2015-04-20,"April 20, 2015"
74,2015-04-27,"April 27, 2015"
75,2015-05-25,"May 25, 2015"
76,2015-06-01,"June 01, 2015"
77,2015-06-08,"June 08, 2015"
78,2015-06-15,"June 15, 2015"
79,2015-06-22,"June 22, 2015"
80,2015-06-29,"June 29, 2015"
81,2015-07-13,"July 13, 2015"
82,2015-07-20,"July 20, 2015"
83,2015-08-03,"August 03, 2015"
84,2015-08-10,"August 10, 2015"
85,2015-08-25,"August 25, 2015"
86,2015-09-07,"September 07, 2015"
87,2015-09-28,"September 28, 2015"
88,2015-10-05,"October 05, 2015"
89,2015-10-26,"October 26, 2015"
90,2015-11-09,"November 09, 2015"
91,2015-11-16,"November 16, 2015"
92,2015-11-23,"November 23, 2015"
93,2015-11-30,"November 30, 2015"
94,2015-12-14,"December 14, 2015"
95,2015-12-21,"December 21, 2015"
96,2016-01-04,"January 04, 2016"
97,2016-01-19,"January 19, 2016"
98,2016-02-01,"February 01, 2016"
99,2016-02-08,"February 08, 2016"
100,2016-02-23,"February 23, 2016"
101,2016-02-29,"February 29, 2016"
102,2016-03-07,"March 07, 2016"
103,2016-03-21,"March 21, 2016"
104,2016-04-12,"April 12, 2016"
105,2016-04-18,"April 18, 2016"
106,2016-04-25,"April 25, 2016"
107,2016-05-10,"May 10, 2016"
108,2016-05-16,"May 16, 2016"
109,2016-05-31,"May 31, 2016"
110,2016-06-06,"June 06, 2016"
111,2016-06-20,"June 20, 2016"
112,2016-07-11,"July 11, 2016"
113,2016-07-15,"July 15, 2016"
114,2016-07-27,"July 27, 2016"
115,2016-08-03,"August 03, 2016"
116,2016-08-09,"August 09, 2016"
117,2016-08-24,"August 24, 2016"
118,2016-08-31,"August 31, 2016"
119,2016-09-05,"September 05, 2016"
120,2016-09-14,"September 14, 2016"
121,2016-09-21,"September 21, 2016"
122,2016-09-26,"September 26, 2016"
123,2016-10-05,"October 05, 2016"
124,2016-10-12,"October 12, 2016"
125,2016-11-07,"November 07, 2016"
126,2016-11-16,"November 16, 2016"
127,2016-11-21,"November 21, 2016"
128,2016-12-05,"December 05, 2016"
129,2016-12-14,"December 14, 2016"
130,2016-12-19,"December 19, 2016"
131,2017-01-02,"January 02, 2017"
132,2017-01-18,"January 18, 2017"
133,2017-02-01,"February 01, 2017"
134,2017-02-13,"February 13, 2017"
